ticket_id,customer_id,account_tier,created_at,resolved_at,ticket_subject,customer_feedback
TICK-1001,CUST-350,Enterprise,2026-08-05 08:00:00,2026-08-06 02:00:00,Unable to execute query,Your query engine keeps throwing a timeout error on my warehouse. This is blocking our daily ETL report and our executives are furious! Fix this immediately.
TICK-1002,CUST-792,Enterprise,2026-08-05 08:00:00,2026-08-05 15:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1003,CUST-132,Enterprise,2026-08-04 13:00:00,2026-08-05 17:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1004,CUST-617,Enterprise,2026-08-02 13:00:00,2026-08-03 04:00:00,Unable to execute query,Your query engine keeps throwing a timeout error on my warehouse. This is blocking our daily ETL report and our executives are furious! Fix this immediately.
TICK-1005,CUST-833,Enterprise,2026-08-04 09:00:00,2026-08-04 22:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1006,CUST-703,Mid-Market,2026-08-02 14:00:00,2026-08-03 19:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1007,CUST-814,Enterprise,2026-08-05 11:00:00,2026-08-05 22:00:00,Feature request for dashboards,Love the platform overall! Would be great if we could export Streamlit charts directly into PDF format for our weekly team syncs.
TICK-1008,CUST-320,Mid-Market,2026-08-02 21:00:00,2026-08-03 07:00:00,Database connector broken,The Python connector keeps dropping connections every 10 minutes after the latest patch. I spent 4 hours debugging this and it ruined my afternoon.
TICK-1009,CUST-199,Enterprise,2026-08-01 21:00:00,2026-08-02 22:00:00,Feature request for dashboards,Love the platform overall! Would be great if we could export Streamlit charts directly into PDF format for our weekly team syncs.
TICK-1010,CUST-926,Mid-Market,2026-08-04 15:00:00,2026-08-05 08:00:00,Feature request for dashboards,Love the platform overall! Would be great if we could export Streamlit charts directly into PDF format for our weekly team syncs.
TICK-1011,CUST-227,Free,2026-08-03 20:00:00,2026-08-05 07:00:00,Unable to execute query,Your query engine keeps throwing a timeout error on my warehouse. This is blocking our daily ETL report and our executives are furious! Fix this immediately.
TICK-1012,CUST-949,Enterprise,2026-08-04 08:00:00,2026-08-05 03:00:00,Database connector broken,The Python connector keeps dropping connections every 10 minutes after the latest patch. I spent 4 hours debugging this and it ruined my afternoon.
TICK-1013,CUST-821,Mid-Market,2026-08-04 11:00:00,2026-08-05 00:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1014,CUST-891,Enterprise,2026-08-04 22:00:00,2026-08-05 13:00:00,Unable to execute query,Your query engine keeps throwing a timeout error on my warehouse. This is blocking our daily ETL report and our executives are furious! Fix this immediately.
TICK-1015,CUST-489,Enterprise,2026-08-02 15:00:00,2026-08-02 22:00:00,Feature request for dashboards,Love the platform overall! Would be great if we could export Streamlit charts directly into PDF format for our weekly team syncs.
TICK-1016,CUST-266,Mid-Market,2026-08-04 19:00:00,2026-08-05 19:00:00,Feature request for dashboards,Love the platform overall! Would be great if we could export Streamlit charts directly into PDF format for our weekly team syncs.
TICK-1017,CUST-373,Mid-Market,2026-08-02 12:00:00,2026-08-04 07:00:00,Feature request for dashboards,Love the platform overall! Would be great if we could export Streamlit charts directly into PDF format for our weekly team syncs.
TICK-1018,CUST-646,Free,2026-08-04 19:00:00,2026-08-05 06:00:00,Unable to execute query,Your query engine keeps throwing a timeout error on my warehouse. This is blocking our daily ETL report and our executives are furious! Fix this immediately.
TICK-1019,CUST-376,Enterprise,2026-08-03 21:00:00,2026-08-04 22:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1020,CUST-963,Enterprise,2026-08-05 01:00:00,2026-08-05 22:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1021,CUST-510,Enterprise,2026-08-01 14:00:00,2026-08-02 11:00:00,Unable to execute query,Your query engine keeps throwing a timeout error on my warehouse. This is blocking our daily ETL report and our executives are furious! Fix this immediately.
TICK-1022,CUST-997,Enterprise,2026-08-02 13:00:00,2026-08-04 02:00:00,Feature request for dashboards,Love the platform overall! Would be great if we could export Streamlit charts directly into PDF format for our weekly team syncs.
TICK-1023,CUST-505,Enterprise,2026-08-04 21:00:00,2026-08-06 05:00:00,Feature request for dashboards,Love the platform overall! Would be great if we could export Streamlit charts directly into PDF format for our weekly team syncs.
TICK-1024,CUST-352,Enterprise,2026-08-02 19:00:00,2026-08-03 04:00:00,Database connector broken,The Python connector keeps dropping connections every 10 minutes after the latest patch. I spent 4 hours debugging this and it ruined my afternoon.
TICK-1025,CUST-698,Free,2026-08-02 19:00:00,2026-08-04 19:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1026,CUST-324,Free,2026-08-03 13:00:00,2026-08-04 13:00:00,Database connector broken,The Python connector keeps dropping connections every 10 minutes after the latest patch. I spent 4 hours debugging this and it ruined my afternoon.
TICK-1027,CUST-873,Free,2026-08-04 01:00:00,2026-08-04 07:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1028,CUST-263,Enterprise,2026-08-02 05:00:00,2026-08-03 22:00:00,Unable to execute query,Your query engine keeps throwing a timeout error on my warehouse. This is blocking our daily ETL report and our executives are furious! Fix this immediately.
TICK-1029,CUST-490,Free,2026-08-01 18:00:00,2026-08-02 19:00:00,Database connector broken,The Python connector keeps dropping connections every 10 minutes after the latest patch. I spent 4 hours debugging this and it ruined my afternoon.
TICK-1030,CUST-666,Mid-Market,2026-08-04 05:00:00,2026-08-04 22:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1031,CUST-798,Free,2026-08-05 06:00:00,2026-08-05 14:00:00,Unable to execute query,Your query engine keeps throwing a timeout error on my warehouse. This is blocking our daily ETL report and our executives are furious! Fix this immediately.
TICK-1032,CUST-448,Mid-Market,2026-08-05 12:00:00,2026-08-07 06:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1033,CUST-564,Mid-Market,2026-08-03 17:00:00,2026-08-04 04:00:00,Unable to execute query,Your query engine keeps throwing a timeout error on my warehouse. This is blocking our daily ETL report and our executives are furious! Fix this immediately.
TICK-1034,CUST-612,Free,2026-08-05 06:00:00,2026-08-05 23:00:00,Unable to execute query,Your query engine keeps throwing a timeout error on my warehouse. This is blocking our daily ETL report and our executives are furious! Fix this immediately.
TICK-1035,CUST-405,Free,2026-08-01 23:00:00,2026-08-03 16:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1036,CUST-482,Free,2026-08-02 11:00:00,2026-08-02 21:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1037,CUST-100,Free,2026-08-05 13:00:00,2026-08-06 23:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1038,CUST-214,Mid-Market,2026-08-04 00:00:00,2026-08-04 02:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1039,CUST-346,Mid-Market,2026-08-02 16:00:00,2026-08-02 20:00:00,Feature request for dashboards,Love the platform overall! Would be great if we could export Streamlit charts directly into PDF format for our weekly team syncs.
TICK-1040,CUST-597,Enterprise,2026-08-01 20:00:00,2026-08-03 19:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1041,CUST-231,Free,2026-08-05 12:00:00,2026-08-05 21:00:00,Unable to execute query,Your query engine keeps throwing a timeout error on my warehouse. This is blocking our daily ETL report and our executives are furious! Fix this immediately.
TICK-1042,CUST-640,Free,2026-08-02 07:00:00,2026-08-03 00:00:00,Database connector broken,The Python connector keeps dropping connections every 10 minutes after the latest patch. I spent 4 hours debugging this and it ruined my afternoon.
TICK-1043,CUST-873,Mid-Market,2026-08-02 13:00:00,2026-08-04 00:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1044,CUST-787,Free,2026-08-03 01:00:00,2026-08-04 03:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1045,CUST-223,Mid-Market,2026-08-04 04:00:00,2026-08-05 09:00:00,Feature request for dashboards,Love the platform overall! Would be great if we could export Streamlit charts directly into PDF format for our weekly team syncs.
TICK-1046,CUST-121,Enterprise,2026-08-01 18:00:00,2026-08-02 16:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1047,CUST-325,Free,2026-08-02 15:00:00,2026-08-04 05:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1048,CUST-160,Enterprise,2026-08-05 04:00:00,2026-08-06 21:00:00,Unable to execute query,Your query engine keeps throwing a timeout error on my warehouse. This is blocking our daily ETL report and our executives are furious! Fix this immediately.
TICK-1049,CUST-172,Enterprise,2026-08-01 14:00:00,2026-08-02 12:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1050,CUST-597,Enterprise,2026-08-02 21:00:00,2026-08-04 16:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1051,CUST-684,Free,2026-08-02 02:00:00,2026-08-04 01:00:00,Billing query regarding invoice,"Hi team, I noticed a $15 charge on my credit card this month, but I thought I was on the free tier. Could someone please clarify how billing works for extra storage?"
TICK-1052,CUST-926,Mid-Market,2026-08-02 17:00:00,2026-08-04 00:00:00,Critical production outage,Database locked up completely during peak business hours. Customers cannot log in. High escalation! Need immediate support tier intervention.
TICK-1053,CUST-774,Enterprise,2026-08-01 22:00:00,2026-08-02 05:00:00,Database connector broken,The Python connector keeps dropping connections every 10 minutes after the latest patch. I spent 4 hours debugging this and it ruined my afternoon.
